STATION_ID,STATION,BOROUGH,LATITUDE,LONGITUDE,SUM_RIDERSHIP,STATION_LINES
1,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,2467275,N W
10,"49 St (N,R,W)",Manhattan,40.7599,-73.98414,4623851,N R W
100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,494839,M J
101,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,2129863,M J Z
103,"Bowery (J,Z)",Manhattan,40.72028,-73.99391,647592,J Z
107,"Broad St (J,Z)",Manhattan,40.706474,-74.011055,976388,J Z
108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,647606,M
109,Fresh Pond Rd (M),Queens,40.706184,-73.895874,913733,M
110,Forest Av (M),Queens,40.704422,-73.903076,731586,M
111,Seneca Av (M),Queens,40.702763,-73.90774,490259,M
113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,668931,M
114,Central Av (M),Brooklyn,40.697857,-73.9274,646967,M
118,3 Av (L),Manhattan,40.73285,-73.98612,1242540,L
119,1 Av (L),Manhattan,40.730953,-73.98163,4434803,L
120,Bedford Av (L),Brooklyn,40.717304,-73.95687,6329230,L
122,Graham Av (L),Brooklyn,40.714565,-73.94405,1658507,L
123,Grand St (L),Brooklyn,40.711926,-73.94067,1145567,L
124,Montrose Av (L),Brooklyn,40.70774,-73.93985,1261013,L
125,Morgan Av (L),Brooklyn,40.706154,-73.93314,1305225,L
126,Jefferson St (L),Brooklyn,40.706608,-73.92291,1629872,L
127,DeKalb Av (L),Brooklyn,40.70381,-73.91843,2117802,L
129,Halsey St (L),Queens,40.695602,-73.90408,1236607,L
13,"28 St (R,W)",Manhattan,40.745495,-73.98869,2170406,R W
130,Wilson Av (L),Brooklyn,40.688763,-73.904045,724211,L
131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525,433430,L
133,Atlantic Av (L),Brooklyn,40.675346,-73.9031,283848,L
134,Sutter Av (L),Brooklyn,40.66937,-73.90198,348496,L
135,Livonia Av (L),Brooklyn,40.66404,-73.90057,432940,L
136,New Lots Av (L),Brooklyn,40.658733,-73.89923,521969,L
137,East 105 St (L),Brooklyn,40.650574,-73.89948,431879,L
138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646652,-73.90185,416680,L
14,"23 St (R,W)",Manhattan,40.741302,-73.98934,3309286,R W
141,Park Pl (S),Brooklyn,40.67477,-73.95763,265505,S
143,Inwood-207 St (A),Manhattan,40.868073,-73.9199,1440488,A
144,Dyckman St (A),Manhattan,40.86549,-73.92727,1053071,A
145,190 St (A),Manhattan,40.85902,-73.93418,736199,A
146,181 St (A),Manhattan,40.851696,-73.937965,1509581,A
147,175 St (A),Manhattan,40.84739,-73.939705,1687942,A
149,163 St-Amsterdam Av (C),Manhattan,40.836014,-73.939896,660934,C
150,155 St (C),Manhattan,40.830517,-73.94151,424082,C
151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944214,3724064,A C B D
152,"135 St (C,B)",Manhattan,40.817894,-73.94765,856620,C B
153,"125 St (A,C,B,D)",Manhattan,40.811108,-73.95235,4378539,A C B D
154,"116 St (C,B)",Manhattan,40.805084,-73.95488,1078208,C B
155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800602,-73.95816,1313466,C B
156,"103 St (C,B)",Manhattan,40.796093,-73.96146,795109,C B
157,"96 St (C,B)",Manhattan,40.79164,-73.9647,1663945,C B
158,"86 St (C,B)",Manhattan,40.78587,-73.96892,1978365,C B
