Stop Name,BOROUGH,Annual Riders,Station Latitude,Station Longitude
WALL ST,Manhattan,3729954,-74.0091,40.706821
RECTOR ST,Manhattan,1606245,-74.013342,40.70722
WTC CORTLANDT,Manhattan,3358064,-74.012188,40.711835
CHAMBERS ST,Manhattan,3782605,-74.008585,40.714111
FRANKLIN ST,Manhattan,1329726,-74.006886,40.719318
CANAL ST,Manhattan,1148885,-74.006277,40.722854
HOUSTON ST,Manhattan,2749660,-74.005367,40.728251
18 ST,Manhattan,1813302,-73.997871,40.74104
23 ST,Manhattan,3154290,-73.995657,40.744081
28 ST,Manhattan,3038057,-73.984264,40.74307
34 ST PENN STATION,Manhattan,15224047,-73.991057,40.750373
50 ST,Manhattan,5893837,-73.983849,40.761728
66 ST LINCOLN CENTER,Manhattan,4771815,-73.982209,40.77344
72 ST,Manhattan,9086110,-73.98197,40.778453
79 ST,Manhattan,3519664,-73.979917,40.783934
96 ST,Manhattan,7856393,-73.947152,40.784318
103 ST,Manhattan,2892314,-73.961454,40.796092
116 ST COLUMBIA UNIVERSITY,Manhattan,3416295,-73.96411,40.807722
125 ST,Manhattan,1986493,-73.952343,40.811109
137 ST CITY COLLEGE,Manhattan,2738004,-73.953676,40.822008
145 ST,Manhattan,2100654,-73.944216,40.824783
157 ST,Manhattan,2288380,-73.94489,40.834041
181 ST,Manhattan,2416958,-73.933596,40.849505
191 ST,Manhattan,1682168,-73.929412,40.855225
DYCKMAN ST,Manhattan,1512897,-73.927271,40.865491
207 ST,Manhattan,1352957,-73.918822,40.864621
215 ST,Manhattan,459810,-73.915279,40.869444
MARBLE HILL 225 ST,Manhattan,1067679,-73.909831,40.874561
231 ST,Bronx,1894047,-73.904834,40.878856
238 ST,Bronx,959752,-73.90087,40.884667
VAN CORTLANDT PARK 242 ST,Bronx,1409910,-73.898583,40.889248
116 ST,Manhattan,2014762,-73.949625,40.802098
135 ST,Manhattan,2201400,-73.94077,40.814229
HARLEM 148 ST,Manhattan,679539,-73.93647,40.82388
BOWLING GREEN,Manhattan,4575586,-74.014065,40.704817
SPRING ST,Manhattan,2969643,-73.997141,40.722301
33 ST,Manhattan,5666586,-73.982076,40.746081
68 ST HUNTER COLLEGE,Manhattan,5164087,-73.96387,40.768141
77 ST,Manhattan,6231273,-73.959874,40.77362
110 ST,Manhattan,2096322,-73.94425,40.79502
138 ST GRAND CONCOURSE,Bronx,785271,-73.929849,40.813224
167 ST,Bronx,1901393,-73.9214,40.835537
