,STATION,Station Latitude,Station Longitude,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGWKND,ANN_RID
0,Far Rockaway-Mott Av,40.603995,-73.755405,Rockaway,Queens,Queens,2817,2473,852781
1,Parsons Blvd,40.707564,-73.803326,Queens Blvd,Queens,Queens,5008,5750,1584984
2,Sutphin Blvd,40.70546,-73.810708,Queens Blvd,Queens,Queens,2834,2977,882617
3,Broad Channel,40.608382,-73.815925,Rockaway,Queens,Queens,179,123,52378
4,Jamaica-Van Wyck,40.702566,-73.816859,Queens Blvd,Queens,Queens,3260,3375,1010728
5,Briarwood-Van Wyck Blvd,40.709179,-73.820574,Queens Blvd,Queens,Queens,3443,3153,1046884
6,Pelham Bay Park,40.852462,-73.828121,Pelham,Bronx,Bronx,3863,3642,1180813
7,Flushing-Main St,40.7596,-73.83003,Flushing (Queens),Queens,Queens,43226,53183,13876213
8,Eastchester-Dyre Av,40.8883,-73.830834,Dyre Av,Bronx,Bronx,2576,1343,727475
9,Kew Gardens-Union Turnpike,40.714441,-73.831008,Queens Blvd,Queens,Queens,16603,14752,5016215
10,Buhre Av,40.84681,-73.832569,Pelham,Bronx,Bronx,2616,1726,758972
11,Aqueduct-North Conduit Av,40.668234,-73.834058,Rockaway,Queens,Queens,558,376,162584
12,Aqueduct Racetrack,40.672131,-73.835812,Rockaway,Queens,Queens,557,1088,202474
13,Middletown Rd,40.843863,-73.836322,Pelham,Bronx,Bronx,1416,780,401976
14,Baychester Av,40.878663,-73.838591,Dyre Av,Bronx,Bronx,1875,1171,540493
15,Rockaway Blvd,40.680429,-73.843853,Fulton St,Queens,Queens,4983,4629,1519523
16,Gun Hill Rd,40.869526,-73.846384,White Plains Rd,Bronx,Bronx,3897,4115,1214663
17,Gun Hill Rd,40.869526,-73.846384,Dyre Av,Bronx,Bronx,3189,2094,925025
18,Zerega Av,40.836488,-73.847036,Pelham,Bronx,Bronx,1760,1044,504725
19,Castle Hill Av,40.834255,-73.851222,Pelham,Bronx,Bronx,3619,2367,1051526
20,Woodhaven Blvd,40.693879,-73.851576,Queens Blvd,Queens,Queens,13596,14303,4237180
21,Woodhaven Blvd,40.693879,-73.851576,Jamaica,Queens,Queens,1935,1136,557522
22,Morris Park,40.854364,-73.860495,Dyre Av,Bronx,Bronx,1820,1097,521846
23,Grant Av,40.677044,-73.86505,Fulton St,Other Brooklyn,Brooklyn,3839,3518,1169287
24,Gun Hill Rd,40.87785,-73.866256,White Plains Rd,Bronx,Bronx,3897,4115,1214663
25,Gun Hill Rd,40.87785,-73.866256,Dyre Av,Bronx,Bronx,3189,2094,925025
26,Burke Av,40.871356,-73.867164,White Plains Rd,Bronx,Bronx,1755,1587,532937
27,Allerton Av,40.865462,-73.867352,White Plains Rd,Bronx,Bronx,2836,2806,874229
28,Bronx Park East,40.848828,-73.868457,White Plains Rd,Bronx,Bronx,1516,1299,456352
29,Woodhaven Blvd,40.733106,-73.869229,Queens Blvd,Queens,Queens,13596,14303,4237180
30,Woodhaven Blvd,40.733106,-73.869229,Jamaica,Queens,Queens,1935,1136,557522
31,Junction Blvd,40.749145,-73.869527,Flushing (Queens),Queens,Queens,20384,28280,6720760
32,Euclid Av,40.675377,-73.872106,Fulton St,Other Brooklyn,Brooklyn,6777,7827,2146235
33,Cypress Hills,40.689941,-73.87255,Jamaica,Other Brooklyn,Brooklyn,1016,497,286484
34,Crescent St,40.683194,-73.873785,Jamaica,Other Brooklyn,Brooklyn,2360,2872,756318
35,Grand Av-Newtown,40.737015,-73.877223,Queens Blvd,Queens,Queens,12662,12357,3893242
36,Woodlawn,40.886037,-73.878751,Jerome Av,Bronx,Bronx,4228,4136,1299027
37,Elder Av,40.828584,-73.879159,Pelham,Bronx,Bronx,3846,4319,1214084
