Station Name,Station Latitude,Station Longitude
Far Rockaway-Mott Av,40.603995,-73.755405
Beach 25th St,40.600066,-73.761353
Beach 36th St,40.595398,-73.768175
Beach 44th St,40.592943,-73.776013
Jamaica-179th St,40.712646,-73.783817
Beach 60th St,40.592374,-73.788522
169th St,40.71047,-73.793604
Beach 67th St,40.590927,-73.796924
Parsons Blvd-Archer Av - Jamaica Center,40.702147,-73.801109
Parsons Blvd,40.707564,-73.803326
Sutphin Blvd-Archer Av - JFK,40.700486,-73.807969
Sutphin Blvd,40.70546,-73.810708
Beach 90th St,40.588034,-73.813641
Broad Channel,40.608382,-73.815925
Jamaica-Van Wyck,40.702566,-73.816859
Beach 98th St,40.585307,-73.820558
Briarwood-Van Wyck Blvd,40.709179,-73.820574
Lefferts Blvd,40.685951,-73.825798
Beach 105th St,40.583209,-73.827559
Pelham Bay Park,40.852462,-73.828121
121st St,40.700492,-73.828294
Flushing-Main St,40.7596,-73.83003
Howard Beach,40.660476,-73.830301
Eastchester-Dyre Av,40.8883,-73.830834
Kew Gardens-Union Turnpike,40.714441,-73.831008
111th St-Greenwood Av,40.684331,-73.832163
Buhre Av,40.84681,-73.832569
Aqueduct-North Conduit Av,40.668234,-73.834058
Rockaway Park-Beach 116th,40.580903,-73.835592
Aqueduct Racetrack,40.672131,-73.835812
Middletown Rd,40.843863,-73.836322
111th St,40.697418,-73.836345
75th Av,40.718331,-73.837324
104th St-Oxford Av,40.681711,-73.837683
Baychester Av,40.878663,-73.838591
Westchester Square-East Tremont Av,40.839892,-73.842952
Rockaway Blvd,40.680429,-73.843853
104th St-102nd St,40.695178,-73.84433
Forest Hills-71st Av,40.721691,-73.844521
Mets - Willets Point,40.754622,-73.845625
Gun Hill Rd,40.869526,-73.846384
Zerega Av,40.836488,-73.847036
Wakefield-241st St,40.903125,-73.85062
Castle Hill Av,40.834255,-73.851222
88th St-Boyd Av,40.679843,-73.85147
Woodhaven Blvd,40.693879,-73.851576
67th Av,40.726523,-73.852719
238th St-Nereid Av,40.898379,-73.854376
111th St,40.75173,-73.855334
Pelham Parkway,40.858985,-73.855359
233rd St,40.893193,-73.857473
80th St-Hudson St,40.679371,-73.858992
Forest Parkway-85th St,40.692435,-73.86001
225th St,40.888022,-73.860341
Morris Park,40.854364,-73.860495
Parkchester-East 177th St,40.833226,-73.860816
63rd Drive-Rego Park,40.729846,-73.861604
219th St,40.883895,-73.862633
103rd St,40.749865,-73.8627
Grant Av,40.677044,-73.86505
Gun Hill Rd,40.87785,-73.866256
Elderts Lane-75th St,40.691324,-73.867139
Burke Av,40.871356,-73.867164
Allerton Av,40.865462,-73.867352
Pelham Parkway,40.857192,-73.867615
St Lawrence Av,40.831509,-73.867618
Bronx Park East,40.848828,-73.868457
Woodhaven Blvd,40.733106,-73.869229
Junction Blvd,40.749145,-73.869527
Euclid Av,40.675377,-73.872106
Cypress Hills,40.689941,-73.87255
East 180th St,40.841894,-73.873488
Crescent St,40.683194,-73.873785
Morrison Av-Soundview Av,40.829521,-73.874516
90th St Elmhurst,40.748408,-73.876613
Grand Av-Newtown,40.737015,-73.877223
Woodlawn,40.886037,-73.878751
Norwood-205th St,40.874811,-73.878855
Elder Av,40.828584,-73.879159
Norwood Av,40.68141,-73.880039
East Tremont Av-West Farms Sq,40.840295,-73.880049
Shepherd Av,40.67413,-73.88075
Elmhurst Av,40.742454,-73.882017
82nd St-Jackson Heights,40.747659,-73.883697
New Lots Av,40.666235,-73.884079
Cleveland St,40.679947,-73.884639
Mosholu Parkway,40.87975,-73.884655
Whitlock Av,40.826525,-73.886283
Bedford Park Blvd,40.873244,-73.887138
174th St,40.837288,-73.887734
Van Siclen Av,40.665449,-73.889395
Metropolitan Av,40.711396,-73.889601
Bedford Park Blvd-Lehman College,40.873412,-73.890064
Van Siclen Av,40.67271,-73.890358
Hunts Point Av,40.820948,-73.890549
Jackson Heights-Roosevelt Ave,40.746644,-73.891338
Broadway-74th St,40.746848,-73.891394
Van Siclen Av,40.678024,-73.891688
Freeman St,40.829993,-73.891865
Simpson St,40.824073,-73.893064
Kingsbridge Rd,40.866978,-73.893509
Pennsylvania Av,40.664635,-73.894895
Fresh Pond Rd,40.706186,-73.895877
Fisk Av-69th St,40.746325,-73.896403
Longwood Av,40.816104,-73.896435
Liberty Av,40.674542,-73.896548
Intervale Av,40.822181,-73.896736
Kingsbridge Rd,40.86776,-73.897174
Fordham Rd,40.861296,-73.897749
65th St,40.749669,-73.898453
Van Cortlandt Park-242nd St,40.889248,-73.898583
Alabama Av,40.676992,-73.898654
New Lots Av,40.658733,-73.899232
East 105th St,40.650573,-73.899485
Livonia Av,40.664038,-73.900571
182nd-183rd Sts,40.856093,-73.900741
238th St,40.884667,-73.90087
Fordham Rd,40.862803,-73.901034
Canarsie - Rockaway Parkway,40.645957,-73.901741
Prospect Av,40.819585,-73.90177
Canarsie - Rockaway Parkway,40.646654,-73.90185
Sutter Av,40.669367,-73.901975
Junius St,40.663515,-73.902447
Canarsie - Rockaway Parkway,40.645757,-73.9025
Woodside Av-61st St,40.74563,-73.902984
Forest Av,40.704423,-73.903077
Atlantic Av,40.675345,-73.903097
183rd St,40.858407,-73.903879
Wilson Av,40.688764,-73.904046
Halsey St,40.695602,-73.904084
East 149th St,40.812118,-73.904098
231st St,40.878856,-73.904834
Tremont Av,40.85041,-73.905227
Bushwick Av,40.682829,-73.905249
Broadway Junction-East New York,40.678334,-73.905316
Northern Blvd,40.752885,-73.906006
East 143rd St-St Mary's St,40.808719,-73.907657
Burnside Av,40.853453,-73.907684
Seneca Av,40.702762,-73.90774
Jackson Av,40.81649,-73.907807
Rockaway Av,40.662549,-73.908946
Marble Hill-225th St,40.874561,-73.909831
174-175th Sts,40.8459,-73.910136
Chauncey St,40.682893,-73.910456
Myrtle Av,40.699814,-73.911586
176th St,40.84848,-73.911794
Rockaway Av,40.67834,-73.911946
Ditmars Blvd,40.775036,-73.912034
Lincoln Av-52nd St,40.744149,-73.912549
46th St,40.756312,-73.913333
170th St,40.839306,-73.9134
Cypress Av,40.805368,-73.914042
Mt Eden Av,40.844434,-73.914685
215th St,40.869444,-73.915279
Saratoga Av,40.661453,-73.916327
Halsey St,40.68637,-73.916559
149th St-3rd Av,40.816109,-73.917757
170th St,40.840075,-73.917791
Astoria Blvd-Hoyt Av,40.770258,-73.917843
DeKalb Av,40.703811,-73.918425
167th St,40.833769,-73.918432
Bliss St-46th St,40.743132,-73.918435
207th St,40.864614,-73.918819
Brook Av,40.807566,-73.91924
Knickerbocker Av,40.698664,-73.919711
Inwood - 207th St,40.868072,-73.919899
Steinway St,40.756879,-73.92074
Ralph Av,40.678822,-73.920786
167th St,40.835537,-73.9214
30 Av-Grand Av,40.766779,-73.921479
Gates Av,40.68963,-73.92227
Sutter Av,40.664717,-73.92261
Jefferson St,40.706607,-73.922913
Lowery St-40th St,40.743781,-73.924016
Broadway,40.76182,-73.925508
Dyckman St,40.860531,-73.925536
Yankee Stadium-161st St,40.827905,-73.925651
Yankee Stadium-161st St,40.827994,-73.925831
138th St-3rd Ave,40.810476,-73.926138
Dyckman St-200th St,40.865491,-73.927271
149th St-Grand Concourse,40.818375,-73.927351
Central Av,40.697857,-73.927397
36th St,40.752039,-73.928781
Kosciusko St,40.693342,-73.928814
191st St,40.855225,-73.929412
36 Av-Washington Av,40.756804,-73.929575
138th St,40.813224,-73.929849
Utica Av,40.679364,-73.930729
Rawson St-33rd St,40.744587,-73.930997
39 Av-Beebe Av,40.752882,-73.932755
Utica Av,40.668897,-73.932942
Morgan Av,40.706152,-73.933147
181st St,40.849505,-73.933596
190th St,40.859022,-73.93418
Myrtle Av,40.697207,-73.935657
145th St,40.820421,-73.936245
Harlem-148th St,40.82388,-73.93647
Queens Plaza,40.748973,-73.937243
125th St,40.804138,-73.937594
181st St,40.851695,-73.937969
155th St,40.830135,-73.938209
168th St - Washington Heights,40.840719,-73.939561
175th St,40.847391,-73.939704
Montrose Av,40.707739,-73.93985
163rd St - Amsterdam Av,40.836013,-73.939892
168th St,40.840556,-73.940133
Queensboro Plaza,40.750582,-73.940202
Grand St,40.711926,-73.94067
135th St,40.814229,-73.94077
Kingston-Throop,40.679921,-73.940858
Flushing Av,40.70026,-73.941126
155th St,40.830518,-73.941514
116th St,40.798629,-73.941617
Kingston Av,40.669399,-73.942161
21st St,40.754203,-73.942836
Long Island City-Court Square,40.746554,-73.943832
Graham Av,40.714565,-73.944053
145th St,40.824783,-73.944216
110th St,40.79502,-73.94425
157th St,40.834041,-73.94489
45 Rd-Court House Sq,40.747023,-73.945264
125th St,40.807754,-73.945495
23rd St-Ely Av,40.747846,-73.946
Lorimer St,40.703869,-73.947408
103rd St,40.7906,-73.947478
Flatbush Av-Brooklyn College,40.632836,-73.947642
135th St,40.817894,-73.947649
Newkirk Av,40.639967,-73.948411
Hunters Point,40.742216,-73.948916
Beverly Rd,40.645098,-73.948959
Myrtle-Willoughby Avs,40.694568,-73.949046
Church Av,40.650843,-73.949575
116th St,40.802098,-73.949625
21st St,40.744065,-73.949724
Winthrop St,40.656652,-73.9502
Flushing Av,40.700377,-73.950234
Lorimer St,40.714063,-73.950275
Broadway,40.706092,-73.950308
145th St,40.826551,-73.95036
Nostrand Av,40.680438,-73.950426
Nostrand Av,40.669847,-73.950466
President St,40.667883,-73.950683
Sterling St,40.662742,-73.95085
96th St,40.785672,-73.95107
Nassau Av,40.724635,-73.951277
Metropolitan Av,40.712792,-73.951418
110th St-Central Park North,40.799075,-73.951822
125th St,40.811109,-73.952343
Roosevelt Island,40.759145,-73.95326
Hewes St,40.70687,-73.953431
Bedford-Nostrand Avs,40.689627,-73.953522
Vernon Blvd-Jackson Av,40.742626,-73.953581
137th St-City College,40.822008,-73.953676
Sheepshead Bay,40.586896,-73.954155
Greenpoint Av,40.731352,-73.954449
116th St,40.805085,-73.954882
Neck Rd,40.595246,-73.955161
86th St,40.779492,-73.955589
Franklin Av,40.680596,-73.955827
Av U,40.5993,-73.955929
Franklin Av,40.68138,-73.956848
Bedford Av,40.717304,-73.956872
Park Place,40.674772,-73.957624
Kings Highway,40.60867,-73.957734
Marcy Av,40.708359,-73.957757
Franklin Av,40.670682,-73.958131
Cathedral Parkway-110th St,40.800605,-73.958158
125th St,40.815581,-73.958372
Botanic Gardens,40.670343,-73.959245
Av M,40.617618,-73.959399
77th St,40.77362,-73.959874
Classon Av,40.688873,-73.96007
Av J,40.625039,-73.960803
Brighton Beach,40.577621,-73.961376
103rd St,40.796092,-73.961454
Parkside Av,40.655292,-73.961495
Av H,40.62927,-73.961639
Prospect Park,40.661614,-73.962246
Newkirk Av,40.635082,-73.962793
Church Av,40.650527,-73.962982
68th St-Hunter College,40.768141,-73.96387
Cortelyou Rd,40.640927,-73.963891
116th St-Columbia University,40.807722,-73.96411
Eastern Parkway-Brooklyn Museum,40.671987,-73.964375
Beverly Rd,40.644031,-73.964492
